27,The United States of America
28,All Canada
29,English-Speaking Canada
30,French-Speaking Canada
31,Benelux
32,Belgium
33,Luxembourg
34,Netherlands
35,Lithuania
36,Afghanistan
37,Bangladesh
38,Bhutan
39,Brunei
40,Cambodia (Kampuchea)
41,China (PRC)
42,East Timor
43,Hong Kong
44,India
45,Indonesia
46,Japan
47,Laos
48,Macao
49,Malaysia
50,Maldives
51,Mongolia
52,Myanmar (Burma)
53,Nepal
54,North Korea
55,Pakistan
56,Philippines
57,Singapore
58,South Korea
59,Sri Lanka (Ceylon)
60,Taiwan (ROC)
61,Thailand
62,Vietnam
93,Argentina
94,Belize
95,Bolivia
96,Brazil
97,British Guyana
98,Chile
99,Colombia
100,Costa Rica
101,Ecuador
102,El Salvador
103,French Guiana
104,Guatemala
105,Honduras
106,Mexico
107,Nicaragua
108,Panama
109,Paraguay
110,Peru
111,Suriname
112,Uruguay
113,Venezuela
114,Bahrain
115,Egypt
116,Iran
117,Iraq
118,Israel
119,Jordan
120,Kuwait
121,Lebanon
123,Oman
124,Palestinian Authority (Palestinian National Authority)
125,Qatar
126,Republic of Yemen
127,Saudi Arabia
128,Syria
129,United Arab Emirates
130,Australia
131,New Zealand
132,Denmark
133,Finland
134,Norway
135,Sweden
63,Albania
136,Austria
137,Channel Islands
138,Cyprus
139,France
140,French-speaking Switzerland
141,German-speaking Switzerland
155,UK
144,Greece
145,Iceland
147,Italian-speaking Switzerland
148,Italy
149,Liechtenstein
150,Malta (English-speaking only)
151,Portugal
152,Saint Helena
154,Turkey
207,Tunisia
153,Spain
157,Algeria
158,Angola
159,Benin (Dahomey)
212,Iran
213,GAS
160,Botswana
161,Burkina Faso (Upper Volta)
162,Burundi;
163,Cameroon
164,Cape Verde Islands
165,Central African Republic
166,Chad
167,Comoros
168,Congo
169,Cote d'Ivorie (Ivory Coast)
170,Democratic Republic of Congo (f/k/a Zaire)
171,Djibouti Republic
172,Equatorial Guinea
173,Eritrea
174,Ethiopia
175,Gabon
176,Gambia
177,Ghana
178,Guinea
179,Guinea-Bissau
180,Kenya
181,Lesotho
182,Liberia
183,Madagascar
184,Malawi
185,Mali
186,Mauritania
187,Mauritius
188,Mayotte
189,Morocco
190,Mozambique
191,Namibia (South West Africa)
192,Niger
193,Nigeria
194,Republic of South Africa
195,Reunion
196,Rwanda
197,Sao Tome and Principe
198,Senegal
199,Seychelles
200,Sierra Leone
201,Somalia
202,South Sudan
203,Sudan
204,Swaziland
205,Tanzania
206,Togo
208,Uganda
209,Zambia
210,Zimbabwe
211,Africa
64,Armenia
65,Azerbaijan
66,Belarus
67,Bosnia Herzegovina
68,Bulgaria
69,Croatia
70,Czech Republic
71,Estonia
72,FYR Macedonia
73,Georgia
74,Hungary
75,Kazakhstan
76,Kosovo
77,Kyrgyzstan
78,Latvia
79,Moldova
80,Montenegro
81,Poland
82,Republic of Abkhazia
83,Romania
84,Russia
85,Serbia
86,Slovakia
87,Slovenia
88,South Ossetia
89,Tajikistan
90,Turkmenistan
91,Ukraine
92,Uzbekistan
142,Germany
143,Gibraltar
146,Isle of Man
122,Libya

